iter	RMSE
0	0.4937200995
1	0.4874355107
2	0.4814540295
3	0.4761514066
4	0.4698803488
5	0.4658713069
6	0.4607157502
7	0.4567812019
8	0.4516598424
9	0.4468001034
10	0.4415284865
11	0.4376064958
12	0.4331553115
13	0.4276528264
14	0.4229830285
15	0.4179088957
16	0.4131832496
17	0.4080570348
18	0.4039821194
19	0.3989258652
20	0.3944448056
21	0.3904262009
22	0.3875565749
23	0.3842857099
24	0.3796186515
25	0.3754348344
26	0.3716381723
27	0.367934032
28	0.3643676554
29	0.3599546271
30	0.3565026187
31	0.3533764846
32	0.3505840267
33	0.3479821019
34	0.3448668281
35	0.3408151641
36	0.3377670099
37	0.3341435584
38	0.3312220327
39	0.3285114876
40	0.3251860815
41	0.3220117439
42	0.3189458152
43	0.3163506902
44	0.3139296291
45	0.311130631
46	0.3081649415
47	0.3056361587
48	0.3027539854
49	0.2997833065
50	0.297674719
51	0.2942984792
52	0.2920322018
53	0.2892974399
54	0.2864819411
55	0.2829117372
56	0.2802040905
57	0.2770845922
58	0.2746617571
59	0.2724553271
60	0.2704570058
61	0.2681001607
62	0.2660836597
63	0.2631814568
64	0.2613895646
65	0.2584413278
66	0.2563832026
67	0.2549227491
68	0.2531695263
69	0.25150357
70	0.2499172303
71	0.24754359
72	0.2448900614
73	0.2431480157
74	0.2409628425
75	0.2389500025
76	0.2375967238
77	0.2357984157
78	0.2343559797
79	0.2327251325
80	0.2311221693
81	0.2298005914
82	0.2279817705
83	0.2262843847
84	0.2242395238
85	0.2222775862
86	0.2204875675
87	0.2189556102
88	0.2168982007
89	0.2152695649
90	0.21353406
91	0.2120444095
92	0.210048462
93	0.2087346917
94	0.2077427326
95	0.2061189094
96	0.2045874906
97	0.2029261564
98	0.2013972655
99	0.1996120945
100	0.1982054517
101	0.1966538865
102	0.1951546086
103	0.1938351934
104	0.1924054341
105	0.1913226035
106	0.190152167
107	0.1885601121
108	0.1874299077
109	0.1860665137
110	0.1845853224
111	0.1833109965
112	0.1819605889
113	0.1805413211
114	0.1792726977
115	0.1778913293
116	0.1766509344
117	0.1755134347
118	0.1735629965
119	0.172258886
120	0.1712385624
121	0.1701647084
122	0.1690234401
123	0.1683306158
124	0.1669861597
125	0.1659611959
126	0.1644937728
127	0.1631742725
128	0.1616588009
129	0.1608654858
130	0.1598219666
131	0.1587823253
132	0.1577773663
133	0.1568732452
134	0.1554306645
135	0.1542078028
136	0.153090927
137	0.1518043508
138	0.1506368582
139	0.1497151631
140	0.1489208758
141	0.1474624228
142	0.1460090791
143	0.1450991247
144	0.1443094433
145	0.1431127442
146	0.1424426658
147	0.1417832631
148	0.1412495391
149	0.1402032647
150	0.1389842985
151	0.1381009059
152	0.1370098298
153	0.1361657882
154	0.135074229
155	0.133892068
156	0.1332567628
157	0.1321224243
158	0.1318079918
159	0.1310210728
160	0.1300604359
161	0.1289522956
162	0.1280336623
163	0.127075135
164	0.1262699189
165	0.1254400871
166	0.1245252166
167	0.1235509288
168	0.1225099433
